model_id,mse,mse_no_coupling,delta_pct,source_file
full_ETTh2_336_g05,0.406646,0.415472,+2.17,grid_full_ETTh2_336_g05.json
full_ETTh2_720_g05,0.420872,0.422557,+0.40,grid_full_ETTh2_720_g05.json
full_ETTh2_96_g05,0.292423,0.314805,+7.65,grid_full_ETTh2_96_g05.json
full_ETTm1_192_g05,0.371707,0.462987,+24.56,grid_full_ETTm1_192_g05.json
full_ETTm1_336_g05,0.417845,0.525857,+25.85,grid_full_ETTm1_336_g05.json
full_ETTm1_720_g05,0.492104,0.573762,+16.59,grid_full_ETTm1_720_g05.json
full_ETTm1_96_g05,0.319353,0.422598,+32.33,grid_full_ETTm1_96_g05.json
full_ETTm2_192_g05,0.242847,0.271179,+11.67,grid_full_ETTm2_192_g05.json
full_ETTm2_336_g05,0.309397,0.322170,+4.13,grid_full_ETTm2_336_g05.json
full_ETTm2_720_g05,0.408668,0.408719,+0.01,grid_full_ETTm2_720_g05.json
full_ETTm2_96_g05,0.172021,0.195404,+13.59,grid_full_ETTm2_96_g05.json
full_Exchange_192_g05,0.189436,0.183926,-2.91,grid_full_Exchange_192_g05.json
full_Exchange_336_g05,0.349790,0.340027,-2.79,grid_full_Exchange_336_g05.json
full_Exchange_720_g05,0.905644,0.901857,-0.42,grid_full_Exchange_720_g05.json
full_Exchange_96_g05,0.087064,0.087730,+0.77,grid_full_Exchange_96_g05.json
full_Traffic_192_g05,0.392952,0.392014,-0.24,grid_full_Traffic_192_g05.json
full_Traffic_336_g05,0.427060,0.427451,+0.09,grid_full_Traffic_336_g05.json
full_Traffic_720_g05,0.469342,0.470061,+0.15,grid_full_Traffic_720_g05.json
full_Traffic_96_g05,0.374334,0.384221,+2.64,grid_full_Traffic_96_g05.json
full_Weather_192_g05,0.209445,0.357652,+70.76,grid_full_Weather_192_g05.json
full_Weather_336_g05,0.269362,0.371877,+38.06,grid_full_Weather_336_g05.json
full_Weather_720_g05,0.348077,0.409511,+17.65,grid_full_Weather_720_g05.json
full_Weather_96_g05,0.159882,0.348159,+117.76,grid_full_Weather_96_g05.json
grid_Beijing_96_H_ln0_g0.1,0.457193,0.461247,+0.89,grid_grid_Beijing_96_H_ln0_g0.1.json
grid_Beijing_96_H_ln0_g0.5,0.453044,0.491530,+8.49,grid_grid_Beijing_96_H_ln0_g0.5.json
grid_Beijing_96_H_ln1_g0.1,0.455147,0.464387,+2.03,grid_grid_Beijing_96_H_ln1_g0.1.json
grid_Beijing_96_H_ln1_g0.5,0.451962,0.573170,+26.82,grid_grid_Beijing_96_H_ln1_g0.5.json
grid_Beijing_96_S_ln0_g0.1,0.454038,0.595971,+31.26,grid_grid_Beijing_96_S_ln0_g0.1.json
grid_Beijing_96_S_ln0_g0.5,0.484464,1.369642,+182.71,grid_grid_Beijing_96_S_ln0_g0.5.json
grid_Beijing_96_S_ln1_g0.1,0.457073,0.460814,+0.82,grid_grid_Beijing_96_S_ln1_g0.1.json
grid_Beijing_96_S_ln1_g0.5,0.454856,0.592421,+30.24,grid_grid_Beijing_96_S_ln1_g0.5.json
grid_ETTh1_96_H_ln0_g0.1,0.375140,0.375811,+0.18,grid_grid_ETTh1_96_H_ln0_g0.1.json
grid_ETTh1_96_H_ln0_g0.5,0.375173,0.379770,+1.23,grid_grid_ETTh1_96_H_ln0_g0.5.json
grid_ETTh1_96_H_ln1_g0.1,0.375019,0.378125,+0.83,grid_grid_ETTh1_96_H_ln1_g0.1.json
grid_ETTh1_96_H_ln1_g0.5,0.375303,0.464443,+23.75,grid_grid_ETTh1_96_H_ln1_g0.5.json
grid_ETTh1_96_S_ln0_g0.1,0.378650,0.448943,+18.56,grid_grid_ETTh1_96_S_ln0_g0.1.json
grid_ETTh1_96_S_ln0_g0.5,0.396273,0.581434,+46.73,grid_grid_ETTh1_96_S_ln0_g0.5.json
grid_ETTh1_96_S_ln1_g0.1,0.375462,0.383935,+2.26,grid_grid_ETTh1_96_S_ln1_g0.1.json
grid_ETTh1_96_S_ln1_g0.5,0.376865,0.487714,+29.41,grid_grid_ETTh1_96_S_ln1_g0.5.json
sp_Beijing_96_k2,0.454093,0.967161,+112.99,grid_sp_Beijing_96_k2.json
sp_Beijing_96_k3,0.455117,1.294199,+184.37,grid_sp_Beijing_96_k3.json
sp_Weather_96_k2,0.159232,0.430206,+170.18,grid_sp_Weather_96_k2.json
sp_Weather_96_k3,0.159460,0.408190,+155.98,grid_sp_Weather_96_k3.json
val_ETTh1_192_g05,0.429222,0.492445,+14.73,grid_val_ETTh1_192_g05.json
val_ETTh1_336_g05,0.472650,0.515835,+9.14,grid_val_ETTh1_336_g05.json
val_ETTh1_720_g05,0.538880,0.578782,+7.40,grid_val_ETTh1_720_g05.json
