lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,mse_norm,mae_norm
96,96,4699896.356067644,120741.57397064737,251.886080551525,0.6628992333361219,0.24657968476046058,0.32808235884187914
192,192,5844807.0688946,174538.6458333101,275.4158034622996,2.029218506886665,0.2643645184566579,0.34531062675589846
336,336,5823966.365831009,162857.78808288305,290.1381478838258,2.1081681580151503,0.29559615052360394,0.37181035008898977
720,720,8825926.587686667,160710.90901675652,335.84231384573906,0.972373858650078,0.3556665757606146,0.4140869450144757
