lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,mse_norm
96,96,4536008.262822069,0.0,246.00971904437353,0.0,0.2380911781455696
192,192,5766061.975579952,0.0,273.118690715804,0.0,0.26198052288131224
336,336,5651285.7908892445,0.0,287.8235080896382,0.0,0.295309199876568
720,720,9353233.266742816,0.0,333.6967778130169,0.0,0.3488877673405672
