lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,mse_norm,mae_norm
96,96,15.388802600189978,0.0,2.5150847400589544,0.0,0.183019054793964,0.2953261379192131
192,192,17.098277434386564,0.0,2.7244240041794794,0.0,0.20048318580185406,0.31724619173091606
336,336,18.760870119688473,0.0,2.837405497714994,0.0,0.22218189590841447,0.3311313491594314
720,720,22.397593530484727,0.0,3.1712513098148793,0.0,0.3141453761109171,0.3853561241122366
