lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,mse_norm,mae_norm
96,96,1996.458147249526,0.0,12.80479491642239,0.0,0.20578453130484067,0.24834534156151397
192,192,1923.8576609651343,0.0,13.47286618496006,0.0,0.25202658603350814,0.28396304025437
336,336,1959.1181482186173,0.0,14.192451369988612,0.0,0.29201320467277436,0.3156353136823265
720,720,1861.5940557009128,0.0,14.581387815061921,0.0,0.353096647833813,0.3611748356327039
